,Player,Pos,Goals,Shots,SOT%,Sh/90,G/Sh,Dist,xG,npxG,np:g-xG,SCA/90,SCA(TakeOn),GCA/90,Season
0,Phil Foden,"FW,MF",0.55,3.21,44.4,3.22,0.17,18.2,0.32,0.32,0.23,4.42,0.26,0.65,2024
1,Julián Álvarez,"MF,FW",0.37,3.27,38.5,3.26,0.09,17.8,0.44,0.39,-0.09,4.01,0.14,0.51,2024
2,Bernardo Silva,"MF,FW",0.22,1.2,45.5,1.19,0.18,15.9,0.13,0.13,0.08,4.52,0.18,0.4,2024
3,Erling Haaland,FW,0.99,3.98,45.9,3.98,0.18,12.0,1.04,0.81,-0.08,2.05,0.11,0.37,2024
4,Jeremy Doku,"FW,MF",0.18,3.05,33.3,3.05,0.06,16.5,0.14,0.14,0.04,6.22,0.96,0.84,2024
5,Jack Grealish,"FW,MF",0.27,1.96,22.7,1.96,0.14,16.1,0.19,0.19,0.08,4.82,0.09,0.36,2024
6,Oscar Bobb,"FW,MF",0.29,1.18,25.0,1.19,0.25,11.1,0.41,0.41,-0.12,6.56,1.18,1.79,2024
7,Bukayo Saka,FW,0.49,3.15,30.4,3.14,0.1,16.3,0.48,0.33,-0.02,5.8,0.31,0.65,2024
8,Kai Havertz,"MF,FW",0.42,2.08,44.1,2.09,0.19,12.5,0.39,0.36,0.03,3.57,0.11,0.78,2024
9,Gabriel Martinelli,FW,0.28,2.62,33.9,2.61,0.11,15.6,0.31,0.31,-0.03,3.96,0.51,0.51,2024
10,Leandro Trossard,"FW,MF",0.69,3.37,37.3,3.38,0.2,15.9,0.45,0.45,0.23,3.61,0.4,0.34,2024
11,Gabriel Jesus,FW,0.25,3.31,35.2,3.32,0.07,12.2,0.39,0.39,-0.14,3.5,0.55,0.49,2024
12,Eddie Nketiah,FW,0.42,3.17,31.6,3.16,0.13,12.7,0.38,0.38,0.04,2.33,0.25,0.67,2024
13,Fabio Vieira,"MF,FW",0.3,1.82,16.7,1.82,0.0,18.0,0.39,0.15,-0.15,3.64,0.0,1.52,2024
14,Reiss Nelson,FW,0.0,1.33,25.0,1.34,0.0,19.7,0.07,0.07,-0.07,3.02,0.0,0.0,2024
15,Luis Díaz,FW,0.28,3.17,34.4,3.17,0.09,15.1,0.4,0.4,-0.12,5.52,0.56,0.32,2024
16,Mohamed Salah,FW,0.66,3.68,43.0,3.68,0.13,15.8,0.74,0.53,-0.05,4.97,0.22,0.7,2024
17,Darwin Núñez,FW,0.49,4.71,43.4,4.71,0.1,15.0,0.72,0.68,-0.2,3.51,0.22,0.62,2024
18,Cody Gakpo,"FW,MF",0.46,3.51,37.7,3.5,0.13,15.7,0.47,0.47,-0.01,3.73,0.34,0.57,2024
19,Diogo Jota,FW,0.79,3.23,46.3,3.22,0.24,12.3,0.42,0.42,0.37,3.77,0.39,1.1,2024
20,Harvey Elliott,"MF,FW",0.21,3.26,34.8,3.25,0.07,20.9,0.17,0.17,0.04,4.81,0.14,0.64,2024
21,Ollie Watkins,FW,0.54,3.0,44.8,3.0,0.18,12.9,0.47,0.47,0.07,2.83,0.2,0.74,2024
22,John McGinn,"MF,FW",0.19,1.23,35.0,1.24,0.15,19.5,0.15,0.15,0.03,3.27,0.19,0.43,2024
23,Moussa Diaby,"FW,MF",0.26,2.24,38.5,2.24,0.12,15.9,0.28,0.28,-0.03,3.32,0.26,0.43,2024
24,Leon Bailey,"MF,FW",0.43,2.3,34.0,2.31,0.19,16.1,0.27,0.27,0.16,4.22,0.39,0.48,2024
25,Youri Tielemans,"MF,FW",0.11,0.78,35.7,0.78,0.14,20.0,0.07,0.07,0.04,2.72,0.06,0.89,2024
26,Nicolò Zaniolo,"FW,MF",0.22,2.9,37.0,2.9,0.07,14.0,0.28,0.28,-0.06,3.23,0.22,0.32,2024
27,Jacob Ramsey,"FW,MF",0.11,2.0,21.1,2.0,0.05,15.9,0.23,0.23,-0.13,3.06,0.11,0.32,2024
28,Morgan Rogers,"MF,FW",0.42,1.55,45.5,1.55,0.27,14.8,0.2,0.2,0.23,3.25,0.42,0.57,2024
29,Jhon Durán,"FW,MF",1.16,4.19,38.9,4.21,0.28,16.2,0.47,0.47,0.7,2.81,0.23,0.94,2024
30,Son Heung-min,FW,0.54,2.56,44.4,2.56,0.19,15.6,0.36,0.31,0.16,3.86,0.35,0.44,2024
31,Dejan Kulusevski,"FW,MF",0.2,1.75,38.5,1.75,0.12,15.7,0.14,0.14,0.06,4.14,0.3,0.27,2024
32,Brennan Johnson,FW,0.23,2.16,39.6,2.17,0.1,13.2,0.42,0.42,-0.2,3.02,0.18,0.54,2024
33,Richarlison,FW,0.66,3.73,40.3,3.74,0.18,12.9,0.58,0.58,0.08,2.05,0.18,0.3,2024
34,Timo Werner,FW,0.22,3.22,24.1,3.23,0.07,14.1,0.41,0.41,-0.19,3.78,0.44,0.78,2024
