,Player,Nation,Position,Age,90s,Tackles,TacklesWon,TacklesDef1/3,TacklesMid1/3,TacklesAtt1/3,Blocks,ShotsBlocked,PassesBlocked,Interceptions,Tkl+Int,Clearances,ErrorsToShot,Season
0,Pedro Porro,es ESP,DF,24-240,31.5,2.76,1.9,1.3,1.02,0.44,1.84,0.54,1.3,0.98,3.75,3.08,0.1,2024
1,Cristian Romero,ar ARG,DF,26-013,28.0,2.07,1.29,1.18,0.71,0.18,1.54,0.71,0.82,1.36,3.43,3.43,0.04,2024
2,Destiny Udogie,it ITA,DF,21-164,26.6,2.56,1.24,1.54,0.6,0.41,1.02,0.3,0.71,1.39,3.95,3.01,0.19,2024
3,Micky van de Ven,nl NED,DF,23-021,23.0,2.0,1.39,1.43,0.43,0.13,0.87,0.61,0.26,0.74,2.74,3.26,0.04,2024
4,Ben Davies,wls WAL,DF,31-016,12.1,1.98,1.4,1.07,0.66,0.25,1.4,1.24,0.17,0.83,2.81,2.89,0.0,2024
5,Emerson,br BRA,DF,25-117,12.7,2.83,1.89,1.81,0.79,0.24,1.81,0.79,1.02,1.57,4.41,3.94,0.08,2024
6,Radu Drăgușin,ro ROU,DF,22-097,2.6,0.38,0.38,0.38,0.0,0.0,1.54,1.54,0.0,1.92,2.31,5.38,0.0,2024
7,Eric Dier,eng ENG,DF,30-116,2.2,0.91,0.45,0.91,0.0,0.0,1.36,1.36,0.0,0.91,1.82,5.45,0.0,2024
8,Davinson Sánchez,co COL,DF,27-333,0.9,0.0,0.0,0.0,0.0,0.0,3.33,2.22,1.11,1.11,1.11,2.22,0.0,2024
9,Eric Dier,eng ENG,DF,28.0,31.3,0.96,0.61,0.51,0.38,0.06,1.31,0.77,0.54,1.12,2.08,3.58,0.06,2023
10,Cristian Romero,ar ARG,DF,24.0,26.3,2.59,1.37,1.6,0.91,0.08,1.52,0.68,0.84,1.67,4.26,3.88,0.11,2023
11,Ben Davies,wls WAL,DF,29.0,25.4,1.1,0.43,0.51,0.51,0.08,0.67,0.31,0.35,0.71,1.81,2.83,0.0,2023
12,Clément Lenglet,fr FRA,DF,27.0,22.4,1.7,1.03,0.8,0.67,0.22,1.16,0.49,0.67,0.8,2.5,3.04,0.09,2023
13,Ivan Perišić,hr CRO,"DF,MF",33.0,23.4,1.79,1.03,1.07,0.43,0.3,1.24,0.3,0.94,0.94,2.74,2.09,0.04,2023
14,Emerson,br BRA,DF,23.0,19.3,2.8,1.71,1.97,0.62,0.21,0.88,0.16,0.73,0.93,3.73,3.89,0.0,2023
15,Pedro Porro,es ESP,"DF,MF",22.0,12.6,1.98,1.27,0.63,1.19,0.16,1.98,0.16,1.83,1.19,3.17,1.9,0.08,2023
16,Ryan Sessegnon,eng ENG,DF,22.0,9.0,1.78,1.22,1.0,0.78,0.0,0.89,0.11,0.78,0.67,2.44,1.89,0.11,2023
17,Davinson Sánchez,co COL,DF,26.0,9.5,2.53,1.16,1.79,0.63,0.11,1.68,1.05,0.63,1.26,3.79,4.32,0.0,2023
18,Matt Doherty,ie IRL,"DF,MF",30.0,7.4,2.16,1.35,1.62,0.41,0.14,1.49,0.81,0.68,1.08,3.24,1.89,0.14,2023
19,Japhet Tanganga,eng ENG,DF,23.0,1.6,1.88,1.25,1.88,0.0,0.0,0.63,0.0,0.63,1.25,3.13,5.0,0.0,2023
20,Lucas Moura,br BRA,"MF,DF",29.0,1.7,4.71,2.94,0.59,1.76,2.35,0.0,0.0,0.0,1.18,5.88,0.59,0.59,2023
21,Djed Spence,eng ENG,"FW,DF",21.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
